code,name,level,parent_code
01,农业,大类,A
011,谷物种植,中类,01
0111,稻谷种植,小类,011
0112,小麦种植,小类,011
0113,玉米种植,小类,011
0119,其他谷物种植,小类,011
012,豆类、油料和薯类种植,中类,01
0121,豆类种植,小类,012
0122,油料种植,小类,012
0123,薯类种植,小类,012
013,棉、麻、糖、烟草种植,中类,01
0131,棉花种植,小类,013
0132,麻类种植,小类,013
0133,糖料种植,小类,013
0134,烟草种植,小类,013
014,蔬菜、食用菌及园艺作物种植,中类,01
0141,蔬菜种植,小类,014
0142,食用菌种植,小类,014
0143,花卉种植,小类,014
0149,其他园艺作物种植,小类,014
015,水果种植,中类,01
0151,仁果类和核果类水果种植,小类,015
0152,葡萄种植,小类,015
0153,柑橘类种植,小类,015
0154,香蕉等亚热带水果种植,小类,015
0159,其他水果种植,小类,015
016,坚果、含油果、香料和饮料作物种植,中类,01
0161,坚果种植,小类,016
0162,含油果种植,小类,016
0163,香料作物种植,小类,016
0164,茶叶种植,小类,016
0169,其他饮料作物种植,小类,016
017,中药材种植,中类,01
0171,中草药种植,小类,017
0179,其他中药材种植,小类,017
018,草种植及割草,中类,01
0181,草种植,小类,018
0182,天然草原割草,小类,018
019,其他农业,中类,01
0190,其他农业,小类,019
02,林业,大类,A
021,林木育种和育苗,中类,02
0211,林木育种,小类,021
0212,林木育苗,小类,021
022,造林和更新,中类,02
0220,造林和更新,小类,022
023,森林经营、管护和改培,中类,02
0231,森林经营和管护,小类,023
0232,森林改培,小类,023
024,木材和竹材采运,中类,02
0241,木材采运,小类,024
0242,竹材采运,小类,024
025,林产品采集,中类,02
0251,木竹材林产品采集,小类,025
0252,非木竹材林产品采集,小类,025
03,畜牧业,大类,A
031,牲畜饲养,中类,03
0311,牛的饲养,小类,031
0312,马的饲养,小类,031
0313,猪的饲养,小类,031
0314,羊的饲养,小类,031
0315,骆驼饲养,小类,031
0319,其他牲畜饲养,小类,031
032,家禽饲养,中类,03
0321,鸡的饲养,小类,032
0322,鸭的饲养,小类,032
0323,鹅的饲养,小类,032
0329,其他家禽饲养,小类,032
033,狩猎和捕捉动物,中类,03
0330,狩猎和捕捉动物,小类,033
039,其他畜牧业,中类,03
0391,兔的饲养,小类,039
0392,蜜蜂饲养,小类,039
0399,其他未列明畜牧业,小类,039
04,渔业,大类,A
041,水产养殖,中类,04
0411,海水养殖,小类,041
0412,内陆养殖,小类,041
042,水产捕捞,中类,04
0421,海水捕捞,小类,042
0422,内陆捕捞,小类,042
05,农、林、牧、渔专业及辅助性活动,大类,A
051,农业专业及辅助性活动,中类,05
0511,种子种苗培育活动,小类,051
0512,农业机械活动,小类,051
0513,灌溉活动,小类,051
0514,农产品初加工活动,小类,051
0515,农作物病虫害防治活动,小类,051
0519,其他农业专业及辅助性活动,小类,051
052,林业专业及辅助性活动,中类,05
0521,林业有害生物防治活动,小类,052
0522,森林防火活动,小类,052
0523,林产品初级加工活动,小类,052
0529,其他林业专业及辅助性活动,小类,052
053,畜牧专业及辅助性活动,中类,05
0531,畜牧良种繁殖活动,小类,053
0532,畜禽粪污处理活动,小类,053
0539,其他畜牧专业及辅助性活动,小类,053
054,渔业专业及辅助性活动,中类,05
0541,鱼苗及鱼种场活动,小类,054
0549,其他渔业专业及辅助性活动,小类,054
06,煤炭开采和洗选业,大类,B
061,烟煤和无烟煤开采洗选,中类,06
0610,烟煤和无烟煤开采洗选,小类,061
062,褐煤开采洗选,中类,06
0620,褐煤开采洗选,小类,062
069,其他煤炭采选,中类,06
0690,其他煤炭采选,小类,069
07,石油和天然气开采业,大类,B
071,石油开采,中类,07
0711,陆地石油开采,小类,071
0712,海洋石油开采,小类,071
072,天然气开采,中类,07
0721,陆地天然气开采,小类,072
0722,海洋天然气及可燃冰开采,小类,072
08,黑色金属矿采选业,大类,B
081,铁矿采选,中类,08
0810,铁矿采选,小类,081
082,锰矿、铬矿采选,中类,08
0820,锰矿、铬矿采选,小类,082
089,其他黑色金属矿采选,中类,08
0890,其他黑色金属矿采选,小类,089
09,有色金属矿采选业,大类,B
091,常用有色金属矿采选,中类,09
0911,铜矿采选,小类,091
0912,铅锌矿采选,小类,091
0913,镍钴矿采选,小类,091
0914,锡矿采选,小类,091
0915,锑矿采选,小类,091
0916,铝矿采选,小类,091
0917,镁矿采选,小类,091
0919,其他常用有色金属矿采选,小类,091
092,贵金属矿采选,中类,09
0921,金矿采选,小类,092
0922,银矿采选,小类,092
0929,其他贵金属矿采选,小类,092
093,稀有稀土金属矿采选,中类,09
0931,钨钼矿采选,小类,093
0932,稀土金属矿采选,小类,093
0933,放射性金属矿采选,小类,093
0939,其他稀有金属矿采选,小类,093
10,非金属矿采选业,大类,B
101,土砂石开采,中类,10
1011,石灰石、石膏开采,小类,101
1012,建筑装饰用石开采,小类,101
1013,耐火土石开采,小类,101
1019,粘土及其他土砂石开采,小类,101
102,化学矿开采,中类,10
1020,化学矿开采,小类,102
103,采盐,中类,10
1030,采盐,小类,103
109,石棉及其他非金属矿采选,中类,10
1091,石棉、云母矿采选,小类,109
1092,石墨、滑石采选,小类,109
1093,宝石、玉石采选,小类,109
